country,year_early,top_mgr_early,ownership_early,year_recent,top_mgr_recent,ownership_recent,ownership_change,top_mgr_change,years_span,ownership_change_per_year,top_mgr_change_per_year
Tanzania,2013,14.0,24.7,2023,17.5,13.2,-11.5,3.5,10,-1.15,0.35
Kenya,2013,13.4,49.2,2025,17.7,36.5,-12.700000000000005,4.299999999999999,12,-1.0583333333333338,0.3583333333333332
Ethiopia,2011,13.6,35.3,2025,16.4,32.3,-3.0,2.799999999999999,14,-0.2142857142857142,0.1999999999999999
Uganda,2013,15.3,26.4,2025,22.6,27.9,1.5,7.300000000000001,12,0.125,0.6083333333333334
Rwanda,2019,19.0,24.6,2023,28.1,37.8,13.199999999999996,9.1,4,3.299999999999999,2.275
