country,governance_state_capacity_index,gov_voice_accountability,female_labor_force_participation,youth_unemployment_rate,vulnerable_employment_rate,refugee_population_2025,pct_female_ownership_participation,pct_female_top_manager,pct_firms_offering_formal_training,pct_competing_against_informal_firms,bribery_incidence_pct,biggest_obstacle_access_to_finance_pct,biggest_obstacle_political_instability_pct,management_practices_index,real_annual_sales_growth_pct,g_state_capacity_z,g_voice_z,g_bribery_z,governance_pillar_score,s_flfp_z,s_ownership_access_z,s_youth_unemp_z,s_vulnerable_emp_z,social_pillar_score,esg_sourcing_score
Ethiopia,-0.8606283279999988,-1.216211346666666,66.08826666666667,4.509933333333334,86.37527867991534,1010466,32.3,16.4,8.8,24.5,17.7,27.5,32.3,61.4,-12.3,-0.9296891244005712,-1.44902291244691,0.0403782997694413,-0.8395423971758365,-0.251697423774474,0.6928595755051392,0.6153523054094174,-0.8617974014804729,0.130287476268969,-0.3546274604534337
Kenya,-0.6791982053333325,-0.3552168266666664,67.30586666666666,10.2952,61.65868895770733,617125,36.5,17.7,36.0,54.1,33.2,14.5,12.3,61.4,3.8,-0.4416601793565612,0.9748382420257518,-1.5242808162964034,-0.3748846224680671,-0.1262443588724744,0.3504076271633558,-0.3812706833425529,0.4574613672566913,0.1063197165718835,-0.1342824529480917
Rwanda,0.1021793906666667,-0.7631077533333323,54.69133333333333,17.336066666666667,41.77605202244269,115794,37.8,28.1,27.4,41.4,12.3,28.8,2.2,51.7,25.7,1.6601676662736509,-0.1734512644036144,0.5854853466568967,1.078507416214847,-1.4259584431161638,0.8457576858465017,-1.5941948206460697,1.5187057952813696,-0.0755722258057053,0.5014675952045707
Tanzania,-0.4693719426666664,-0.3747922799999997,80.78673333333333,3.732933333333333,85.27001649732888,171142,13.2,17.5,20.0,53.1,6.9,39.7,0.0,53.2,13.4,0.1227515517641738,0.9197296672164031,1.1305923935443525,0.4837153432106554,1.262730707543878,-1.6144551752329184,0.7492054373181075,-0.8028035498804431,-0.260096256958019,0.1118095431263182
Uganda,-0.6680118186666664,-0.7981471466666664,73.78353333333332,4.535733333333334,76.06658192885445,1936719,27.9,22.6,24.5,70.6,20.4,15.9,0.5,54.0,20.2,-0.411569914280692,-0.2720937323916302,-0.2321752236742863,-0.3477957397815985,0.5411695182192299,-0.2745697132820787,0.6109077612610979,-0.3115662111771498,0.0990612899228695,-0.1243672249293644
